 Nome da Empresa 	Pago 	Guia	Tipo de Site	Valor	Tipo de Cliente	Cidade	Estado	Data da Venda	Otimizado	3+ Avaliações no Google
 Empresa 80 	NÃO	NÃO	 Standard 	1345,00	 CHATO 	 Belo Horizonte 	 MG 	 quinta-feira, 18 de setembro de 2014 	NÃO	NÃO
 Empresa 81 	 SIM 	 SIM 	 WooCommerce 	1535,00	 TOP 	 Teresina 	 PI 	 quarta-feira, 3 de junho de 2015 	 SIM 	 SIM 
 Empresa 82 	 SIM 	 SIM 	 Standard 	1645,00	 TRANQUILO 	 Recife 	 PE 	terça-feira, 7 de março de 2017 	NÃO	NÃO
 Empresa 83 	NÃO	NÃO	 WordPress + Blog 	2445,00	 CHATO 	 Brasília 	 DF 	 sexta-feira, 22 de novembro de 2019 	 SIM 	 SIM 
 Empresa 84 	 SIM 	 SIM 	 WordPress 	1875,00	 TRANQUILO 	 São Luís 	 MA 	 quinta-feira, 11 de agosto de 2016 	 SIM 	 SIM 
 Empresa 85 	NÃO	NÃO	 Standard 	1401,00	 CHATO 	 Porto Alegre 	 RS 	 segunda-feira, 4 de janeiro de 2016 	NÃO	NÃO
 Empresa 86 	 SIM 	 SIM 	 WooCommerce 	1905,00	 TOP 	 Belém 	 PA 	 quarta-feira, 27 de setembro de 2017 	 SIM 	 SIM 
 Empresa 87 	NÃO	NÃO	 WordPress + Blog 	1625,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 9 de março de 2012 	NÃO	NÃO
 Empresa 88 	 SIM 	NÃO	 WooCommerce 	2045,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 5 de outubro de 2015 	 SIM 	 SIM 
 Empresa 89 	 SIM 	 SIM 	 WordPress 	1795,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 14 de julho de 2010 	 SIM 	 SIM 
 Empresa 90 	NÃO	NÃO	 Standard 	1355,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 23 de janeiro de 2014 	NÃO	NÃO
 Empresa 91 	 SIM 	 SIM 	 WooCommerce 	1565,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 30 de novembro de 2016 	 SIM 	 SIM 
 Empresa 92 	 SIM 	 SIM 	 Standard 	1675,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 4 de maio de 2010 	NÃO	NÃO
 Empresa 93 	NÃO	NÃO	 WordPress + Blog 	2485,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 8 de junho de 2018 	 SIM 	 SIM 
 Empresa 94 	 SIM 	 SIM 	 WordPress 	1895,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 17 de março de 2011 	 SIM 	 SIM 
 Empresa 95 	NÃO	NÃO	 Standard 	1415,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 20 de agosto de 2018 	NÃO	NÃO
 Empresa 96 	 SIM 	 SIM 	 WooCommerce 	1910,00	 TOP 	 Belém 	 PA 	 quarta-feira, 12 de dezembro de 2012 	 SIM 	 SIM 
 Empresa 97 	NÃO	NÃO	 WordPress + Blog 	1620,00	 TRANQUILO 	 Goiânia 	 GO 	 sexta-feira, 9 de abril de 2015 	NÃO	NÃO
 Empresa 98 	 SIM 	 SIM 	 WooCommerce 	1565,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 30 de novembro de 2016 	 SIM 	 SIM 
 Empresa 99 	 SIM 	 SIM 	 Standard 	1675,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 4 de maio de 2010 	NÃO	NÃO
 Empresa 100 	NÃO	NÃO	 WordPress + Blog 	2485,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 8 de junho de 2018 	 SIM 	 SIM 
 Empresa 101 	 SIM 	 SIM 	 WordPress 	1895,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 17 de março de 2011 	 SIM 	 SIM 
 Empresa 102 	NÃO	NÃO	 Standard 	1415,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 20 de agosto de 2018 	NÃO	NÃO
 Empresa 103 	 SIM 	 SIM 	 WooCommerce 	1910,00	 TOP 	 Belém 	 PA 	 quarta-feira, 12 de dezembro de 2012 	 SIM 	 SIM 
 Empresa 104 	NÃO	NÃO	 WordPress + Blog 	1620,00	 TRANQUILO 	 Goiânia 	 GO 	 sexta-feira, 9 de abril de 2015 	NÃO	NÃO
 Empresa 105 	 SIM 	NÃO	 WooCommerce 	2055,00	 TOP 	Florianópolis	 SC 	terça-feira, 15 de setembro de 2015 	 SIM 	 SIM 
 Empresa 106 	 SIM 	 SIM 	 WordPress 	1795,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 14 de julho de 2014 	 SIM 	 SIM 
 Empresa 107 	NÃO	NÃO	 Standard 	1355,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 23 de janeiro de 2014 	NÃO	NÃO
 Empresa 108 	 SIM 	 SIM 	 WooCommerce 	1550,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 12 de dezembro de 2018 	 SIM 	 SIM 
 Empresa 109 	 SIM 	 SIM 	 Standard 	1660,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 17 de maio de 2016 	NÃO	NÃO
 Empresa 110 	NÃO	NÃO	 WordPress + Blog 	2470,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 28 de julho de 2017 	 SIM 	 SIM 
 Empresa 111 	 SIM 	 SIM 	 WordPress 	1880,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 9 de janeiro de 2014 	 SIM 	 SIM 
 Empresa 112 	NÃO	NÃO	 Standard 	1405,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 3 de setembro de 2012 	NÃO	NÃO
 Empresa 113 	 SIM 	 SIM 	 WooCommerce 	1900,00	 TOP 	 Belém 	 PA 	 quarta-feira, 22 de março de 2017 	 SIM 	 SIM 
 Empresa 114 	NÃO	NÃO	 WordPress + Blog 	1615,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 9 de março de 2012 	NÃO	NÃO
 Empresa 115 	 SIM 	NÃO	 WooCommerce 	2045,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 5 de outubro de 2015 	 SIM 	 SIM 
 Empresa 116 	 SIM 	 SIM 	 WordPress 	1795,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 14 de julho de 2010 	 SIM 	 SIM 
 Empresa 117 	NÃO	NÃO	 Standard 	1355,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 23 de janeiro de 2014 	NÃO	NÃO
 Empresa 118 	 SIM 	 SIM 	 WooCommerce 	1550,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 12 de dezembro de 2018 	 SIM 	 SIM 
 Empresa 119 	 SIM 	 SIM 	 Standard 	1660,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 17 de maio de 2016 	NÃO	NÃO
 Empresa 120 	NÃO	NÃO	 WordPress + Blog 	2470,00	 CHATO 	 Recife 	 PE 	 Sexta-feira, 28 de julho de 2017 	 SIM 	 SIM 
 Empresa 121 	 SIM 	 SIM 	 WordPress 	1880,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 9 de janeiro de 2014 	 SIM 	 SIM 
 Empresa 122 	NÃO	NÃO	 Standard 	1405,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 3 de setembro de 2012 	NÃO	NÃO
 Empresa 123 	 SIM 	 SIM 	 WooCommerce 	1900,00	 TOP 	 Belém 	 PA 	 quarta-feira, 22 de março de 2017 	 SIM 	 SIM 
 Empresa 124 	NÃO	NÃO	 WordPress + Blog 	1615,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 9 de março de 2012 	NÃO	NÃO
 Empresa 125 	 SIM 	NÃO	 WooCommerce 	2045,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 5 de outubro de 2015 	 SIM 	 SIM 
 Empresa 126 	 SIM 	 SIM 	 WordPress 	1795,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 14 de julho de 2010 	 SIM 	 SIM 
 Empresa 127 	NÃO	NÃO	 Standard 	1355,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 23 de janeiro de 2014 	NÃO	NÃO
 Empresa 128 	 SIM 	 SIM 	 WooCommerce 	1575,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 15 de março de 2017 	 SIM 	 SIM 
 Empresa 129 	 SIM 	 SIM 	 Standard 	1685,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 20 de agosto de 2019 	NÃO	NÃO
 Empresa 130 	NÃO	NÃO	 WordPress + Blog 	2495,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 11 de maio de 2018 	 SIM 	 SIM 
 Empresa 131 	 SIM 	 SIM 	 WordPress 	1905,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 19 de dezembro de 2013 	 SIM 	 SIM 
 Empresa 132 	NÃO	NÃO	 Standard 	1415,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 1 de julho de 2013 	NÃO	NÃO
 Empresa 133 	 SIM 	 SIM 	 WooCommerce 	1925,00	 TOP 	 Belém 	 PA 	 quarta-feira, 14 de março de 2016 	 SIM 	 SIM 
 Empresa 134 	NÃO	NÃO	 WordPress + Blog 	1635,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 6 de novembro de 2020 	NÃO	NÃO
 Empresa 135 	 SIM 	NÃO	 WooCommerce 	2065,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 25 de setembro de 2012 	 SIM 	 SIM 
 Empresa 136 	 SIM 	 SIM 	 WordPress 	1805,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 5 de junho de 2019 	 SIM 	 SIM 
 Empresa 137 	NÃO	NÃO	 Standard 	1365,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 3 de abril de 2014 	NÃO	NÃO
 Empresa 138 	 SIM 	 SIM 	 WooCommerce 	1585,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 23 de agosto de 2017 	 SIM 	 SIM 
 Empresa 139 	 SIM 	 SIM 	 Standard 	1695,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 12 de setembro de 2016 	NÃO	NÃO
 Empresa 140 	NÃO	NÃO	 WordPress + Blog 	2505,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 27 de julho de 2018 	 SIM 	 SIM 
 Empresa 141 	 SIM 	 SIM 	 WordPress 	1915,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 29 de junho de 2017 	 SIM 	 SIM 
 Empresa 142 	NÃO	NÃO	 Standard 	1425,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 15 de janeiro de 2018 	NÃO	NÃO
 Empresa 143 	 SIM 	 SIM 	 WooCommerce 	1935,00	 TOP 	 Belém 	 PA 	 quarta-feira, 8 de dezembro de 2015 	 SIM 	 SIM 
 Empresa 144 	NÃO	NÃO	 WordPress + Blog 	1645,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 12 de março de 2021 	NÃO	NÃO
 Empresa 145 	 SIM 	NÃO	 WooCommerce 	2075,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 21 de novembro de 2013 	 SIM 	 SIM 
 Empresa 146 	 SIM 	 SIM 	 WordPress 	1815,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 13 de outubro de 2010 	 SIM 	 SIM 
 Empresa 147 	NÃO	NÃO	 Standard 	1375,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 27 de junho de 2013 	NÃO	NÃO
 Empresa 148 	 SIM 	 SIM 	 WooCommerce 	1595,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 19 de abril de 2017 	 SIM 	 SIM 
 Empresa 149 	 SIM 	 SIM 	 Standard 	1705,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 2 de agosto de 2016 	NÃO	NÃO
 Empresa 150 	NÃO	NÃO	 WordPress + Blog 	2515,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 7 de setembro de 2018 	 SIM 	 SIM 
 Empresa 151 	 SIM 	 SIM 	 WordPress 	1925,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 1 de maio de 2014 	 SIM 	 SIM 
 Empresa 152 	NÃO	NÃO	 Standard 	1435,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 11 de março de 2019 	NÃO	NÃO
 Empresa 153 	 SIM 	 SIM 	 WooCommerce 	1945,00	 TOP 	 Belém 	 PA 	 quarta-feira, 23 de junho de 2015 	 SIM 	 SIM 
 Empresa 154 	NÃO	NÃO	 WordPress + Blog 	1655,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 22 de janeiro de 2021 	NÃO	NÃO
 Empresa 155 	 SIM 	NÃO	 WooCommerce 	2085,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 30 de novembro de 2012 	 SIM 	 SIM 
 Empresa 157 	 SIM 	 SIM 	 WooCommerce 	1605,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 22 de janeiro de 2020 	 SIM 	 SIM 
 Empresa 158 	 SIM 	 SIM 	 Standard 	1715,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 10 de setembro de 2019 	NÃO	NÃO
 Empresa 159 	NÃO	NÃO	 WordPress + Blog 	2525,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 3 de agosto de 2018 	 SIM 	 SIM 
 Empresa 160 	 SIM 	 SIM 	 WordPress 	1935,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 17 de dezembro de 2015 	 SIM 	 SIM 
 Empresa 161 	NÃO	NÃO	 Standard 	1445,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 3 de junho de 2019 	NÃO	NÃO
 Empresa 162 	 SIM 	 SIM 	 WooCommerce 	1955,00	 TOP 	 Belém 	 PA 	 quarta-feira, 15 de agosto de 2016 	 SIM 	 SIM 
